FL_DATE,Average Arrival Delay
2018-06-27,6.071184536902701
2018-06-28,24.269035294117646
2018-06-29,4.063138433094522
2018-06-30,3.109629234462523
2018-07-01,3.7119358277910344
2018-07-02,2.8323666786429196
2018-07-03,2.556555122622049
2018-07-04,0.7733588883564926
2018-07-05,6.565505460945183
2018-07-06,12.099139655862345
2018-07-07,-1.1799484480721727
2018-07-08,0.8626467247254828
2018-07-09,5.361496485386607
2018-07-10,3.55552951104027
2018-07-11,1.3668458117123796
2018-07-12,8.471268132896585
2018-07-13,1.3122593068035944
2018-07-14,0.8948789974070873
2018-07-15,15.292256777145083
2018-07-16,14.984342331459368
2018-07-17,17.085509041367352
2018-07-18,3.2589994890612664
2018-07-19,9.546979094877097
2018-07-20,17.143239501615135
2018-07-21,9.392476319350473
2018-07-22,18.697151790512482
