ORIGIN,Average Departure Delay
ITH,11.125279642058166
ITO,-0.9901089689857502
JAC,10.701925545571244
JAN,5.97216815881666
JAX,7.2287271736167895
JFK,13.13419456348467
JLN,7.023419203747072
JMS,3.397752808988764
JNU,-1.8959613696224757
KOA,1.786291626252829
KTN,-2.2759885854056257
LAN,7.404023470243085
LAR,6.5664451827242525
LAS,10.132813597885368
LAW,8.776491540516474
LAX,12.103027260499744
LBB,4.523472099202834
LBE,5.194906953966699
LCH,3.824051654560129
LEX,9.93183609141056
LFT,8.432840722495895
LGA,13.488470848019023
LGB,8.52469525959368
LIH,-0.2055701791627749
LIT,5.274214895921069
LNK,5.217
LRD,6.396741734547197
LSE,1.4840425531914894
LWS,-1.1991584852734922
MAF,4.150789519347562
MBS,6.826913199794555
MCI,6.64107022791032
MCO,10.411212470108936
MDT,9.205648369132856
MDW,9.12987780843516
MEI,13.973630831643002
MEM,6.81960868630402
MFE,6.2830446672743845
MFR,10.147260273972602
MGM,10.407635467980295
MHK,-7.0
MHT,5.788619119878604
MIA,13.077506672855982
MKE,6.679920538845951
MKG,8.56793893129771
MLB,6.658034528552457
MLI,8.790967226219024
MLU,7.859504132231405
MMH,22.560439560439562
MOB,7.070218917802561
MOT,6.429274292742927
MQT,15.874269005847953
MRY,5.911156186612576
MSN,5.35275866720626
MSO,3.774436090225564
MSP,7.6959010138449795
MSY,7.708170214737427
MTJ,7.094357076780758
MVY,20.822580645161292
MYR,8.96683900873596
OAJ,10.753007217321572
OAK,8.411062771908018
OGG,2.905804896940488
OKC,5.57673490408137
OMA,6.194931005350606
OME,-2.0977337110481584
ONT,8.030994182155176
ORD,13.06971431900074
ORF,9.865253456221199
ORH,12.544285714285714
OTH,20.192439862542955
OTZ,-3.956090651558074
PAH,10.139605462822459
PBG,5.547683923705722
PBI,12.005719295316023
PDX,5.451374007851474
PGD,8.538461538461538
PHF,8.392825112107623
PHL,8.374739169488013
PHX,7.210790789398833
PIA,9.431028551771586
PIB,10.966237942122186
PIH,-1.0184782608695653
PIT,5.2832561481954645
PLN,11.45648148148148
PNS,5.082404593042891
PPG,52.553719008264466
PSC,5.82851075126095
PSE,2.9091981132075473
PSG,-5.920723226703755
PSP,9.715351275073077
PVD,5.875190380761523
PWM,10.001294707881534
RAP,6.055367994598244
RDD,8.998958333333333
RDM,9.112084702446149
RDU,9.1335170413343
RHI,3.5731108930323847
RIC,10.613508322663252
RKS,0.25588697017268447
RNO,8.426520994001713
ROA,8.370096908167975
ROC,7.0662040249826505
ROW,3.4324942791762014
RST,8.393333333333333
RSW,8.469903650240012
SAF,16.741989881956155
SAN,7.184277501453394
SAT,6.832004704652379
SAV,10.708414872798434
SBA,10.177001703577513
SBN,9.258863896301945
SBP,7.533333333333333
SCC,-7.833128834355828
SCE,7.188705234159779
SDF,8.668331973898859
SEA,5.695079684591286
SFO,12.057771057400391
SGF,7.747276688453159
SGU,1.539391010149831
SHV,8.131525076765609
SIT,-1.0815576781778105
SJC,7.490743405275779
SJT,11.694416243654823
SJU,8.366196654916372
SLC,4.872908157149838
SMF,8.300754818379461
SMX,13.398148148148149
SNA,6.503353001113718
SPI,8.809580130100532
SPN,24.0
SPS,8.592411260709914
SRQ,12.078599938593799
STL,8.863399298551673
STT,6.431991951710262
STX,4.1410488245931285
SUN,7.408163265306122
SWF,10.149791955617198
SYR,8.376106963014411
TLH,7.361209265802906
TPA,8.516962867281338
TRI,8.863530507685143
TTN,9.612205670350793
TUL,4.629768786127167
TUS,7.077154685735792
TVC,9.205422794117647
