ORIGIN,LATITUDE,LONGITUDE,Average Arrival Delay
BRW,71.2854475,-156.7660019,-3.7414578587699316
BTM,45.95479528,-112.49746,3.2227272727272727
BTR,30.53316083,-91.14963444,10.035514888337469
BTV,44.47300361,-73.1503125,11.778130959949141
BUF,42.94052472,-78.73216667,3.8117376294591483
BUR,34.20061917,-118.3584969,6.18849593495935
BWI,39.17540167,-76.66819833,2.9988698398603444
BZN,45.77690139,-111.1530072,0.6225500101030511
CAE,33.93884,-81.11953944,2.748469523556029
CAK,40.91631194,-81.44246556,3.384412848867825
CDC,37.70097028,-113.098575,0.40161290322580645
CDV,60.49183389,-145.4776503,-1.5256410256410255
CHA,35.03526833,-85.20378778,13.904060913705584
CHO,38.13863889,-78.45286111,13.738095238095237
CHS,32.89864639,-80.04050583,4.922769640479361
CID,41.88458833,-91.71087222,6.34985590778098
CIU,46.25075194,-84.47238528,14.754946727549468
CLE,41.41089417,-81.84939667,2.5625214212270078
CLL,30.58858944,-96.36382417,4.250387596899225
CLT,35.21401111,-80.94312583,4.591185954854891
CMH,39.99798528,-82.89188278,1.5460140928771542
CMX,47.16841722,-88.48906083,4.668141592920354
COD,44.52019417,-109.0237961,-3.175895765472313
COS,38.80580556,-104.70025,5.639504277253784
COU,38.81809306,-92.21962917,6.725938009787928
CPR,42.90835556,-106.4644661,-9.5
CRP,27.77036083,-97.50121528,3.1114088820826953
CRW,38.37315083,-81.59318972,4.5250255362614915
CSG,32.51633333,-84.93886111,8.27328431372549
CVG,39.04614278,-84.6621725,3.9602263540824576
CWA,44.77761917,-89.66677944,11.838222222222223
DAB,29.17991667,-81.05805556,0.7566191446028513
DAL,32.84711389,-96.85177222,7.804444314664487
DAY,39.90237583,-84.219375,4.349269348728126
DCA,38.85208333,-77.03772222,2.7583396330149133
DEN,39.85840806,-104.6670019,3.5851059019299294
DFW,32.89595056,-97.0372,7.045600585582817
DHN,31.32133917,-85.44962889,9.313662085691188
DLG,59.0454125,-158.5033389,-6.988095238095238
DLH,46.84209028,-92.19364861,7.233948635634029
DRO,37.15151667,-107.7537692,0.13281853281853281
DSM,41.53493306,-93.66068222,2.1822910216718268
DTW,42.21205889,-83.34883583,2.5137498101958777
DVL,48.11424528,-98.90877833,3.5500848896434634
EAU,44.86525722,-91.48507194,2.1686746987951806
EGE,39.64256778,-106.9176953,11.937454010301693
EKO,40.82492611,-115.7916964,3.434915773353752
ELM,42.15991361,-76.89144333,10.273529411764706
ELP,31.80666667,-106.3778056,3.9434209295800993
ERI,42.08202139,-80.17621556,-1.3684922244759974
ESC,45.72266972,-87.09373139,13.259933774834437
EUG,44.12326,-123.2186856,7.4179331306990886
EVV,38.03799139,-87.53062667,3.146285186894324
EWN,35.07297222,-77.04294444,5.42369020501139
EWR,40.69249722,-74.16866056,9.129261237600042
EYW,24.55611111,-81.75955556,2.7287909151636605
FAI,64.8136775,-147.8596694,-2.8817345597897503
FAR,46.91934889,-96.81498889,2.112908550676791
FAT,36.77619444,-119.7181389,5.98390999274135
FAY,34.99147222,-78.88,6.54183266932271
FCA,48.31140472,-114.2550694,1.1073743922204213
FLG,35.13845472,-111.6712183,-1.6114503816793893
FLL,26.07258333,-80.15275,9.109201386902242
FNT,42.96550333,-83.74345639,5.394839337877313
FSD,43.58135111,-96.74170028,4.833295324971494
FSM,35.33659028,-94.36744111,3.224852071005917
FWA,40.97846583,-85.19514639,10.040198237885463
GCC,44.34889806,-105.5393614,2.3400200601805414
GCK,37.92751556,-100.7244147,0.5469613259668509
GEG,47.61985556,-117.5338425,0.832628763695971
GFK,47.949255,-97.17611111,-1.2386363636363635
GGG,32.38486111,-94.71171,63.666666666666664
GJT,39.1224125,-108.5267347,-4.247670807453416
GNV,29.69005556,-82.27177778,8.725639253628197
GPT,30.40728028,-89.07009278,2.643353605560382
GRB,44.48507333,-88.12959,4.180909307307783
GRI,40.96747222,-98.30861111,5.558359621451104
GRK,31.06489778,-97.82779778,10.814265536723164
GRR,42.88081972,-85.52276778,2.395656631559325
GSO,36.09774694,-79.9372975,6.164549972390944
